Code,Name,Group,Image,Unit,,
b0003,طقم علب مستطيل 3 قطع 10 لتر,حافظات - صناديق - سلات,356.jpg,,,356
b0003,طقم علب مستطيل 3 قطع 6 لتر,حافظات - صناديق - سلات,357.jpg,,,357
b0003,طقم علب مستطيل 3 قطع 4 لتر,حافظات - صناديق - سلات,358.jpg,,,358
b0005,رف أحذية 5 دور,كراسي - طاولات,359.jpg,,,359
b0005,رف أحذية 4 دور,كراسي - طاولات,360.jpg,,,360
b0005,رف أحذية 3 دور,كراسي - طاولات,361.jpg,,,361
b0003,حوض الزهور 235x320,حافظات - صناديق - سلات,362.jpg,,,362
b0003,حوض الزهور 205x280,حافظات - صناديق - سلات,363.jpg,,,363
b0003,حوض الزهور 185x240,حافظات - صناديق - سلات,364.jpg,,,364
b0003,حوض الزهور 170x210,حافظات - صناديق - سلات,365.jpg,,,365
b0003,حوض الزهور 140x180,حافظات - صناديق - سلات,366.jpg,,,366
b0003,حوض الزهور 110x150,حافظات - صناديق - سلات,367.jpg,,,367
b0003,علب عسل 2000 مل,حافظات - صناديق - سلات,368.jpg,,,368
b0003,علب عسل 1300 مل,حافظات - صناديق - سلات,369.jpg,,,369
b0003,علب عسل 800 مل,حافظات - صناديق - سلات,370.jpg,,,370
b0003,بالدي الطحنية,حافظات - صناديق - سلات,371.jpg,,,371
b0003,سلة السجاد,حافظات - صناديق - سلات,372.jpg,,,372
b0005,طاولة دائرية قطر 95 سم ارتفاع 72 سم,كراسي - طاولات,373.jpg,,,373
b0005,طاوالت مستطيلة 114x73xc2  سم,كراسي - طاولات,374.jpg,,,374
